name,url,address,type
Bâtard,http://www.batardtribeca.com/,"239 W Broadway, New York, NY 10013",French
Upland,https://uplandnyc.com/,"345 Park Avenue South, New York, NY 10010",California
Via Carota,http://www.viacarota.com/,"51 Grove Street, New York, NY",Italian
Misi ,https://www.misinewyork.com/,"329 Kent Avenue, Brooklyn, NY 11249",Italian
Han Dynasty,https://handynasty.net/,"90 3rd Ave, New York, NY 10003",Chinese
Han Dynasty,https://handynasty.net/,"1 Dekalb Ave Brooklyn, NY 11201",Chinese
Han Dynasty,https://handynasty.net/,"215 W 85th St, New York NY 10024",Chinese
Claro,https://www.clarobk.com/,"284 3rd Avenue, Brooklyn, NY 11215",Mexican
Maison Yaki,http://maisonyaki.com/,"626 Vanderbilt Avenue Brooklyn, NY 11238",French/Japanese
Frankel’s,https://frankelsdelicatessen.com/,"631 Manhattan Avenue, New York, NY 11222",Deli
Grand Army,https://www.grandarmybar.com/,"336 State Street, Brooklyn, NY 11217",Bar
Maison Premiere,https://maisonpremiere.com/,"298 Bedford Avenue, Brooklyn, NY 11249",Bar
Fornino ,https://www.fornino.com/,"Pier 6, Brooklyn Bridge Park, Brooklyn, NY 11201",Pizza
Fornino ,https://www.fornino.com/,"849 Manhattan Ave, Brooklyn, NY 11222",Pizza
M. Shanghai,http://www.newmshanghai.com/,"292 Grand Street, Brooklyn, NY 11211",Chinese
Bar Sardine,https://www.barsardinenyc.com/,"183 West 10th Street, New York, NY 10014",Gastropub
The Kunjip,http://thekunjipnyc.com/,"32 West 32nd Street, New York, NY 10001",Korean
Stick with Me,https://swmsweets.com/,"202A Mott Street, New York, NY 10012",Chocolate
Supermoon Bakehouse,https://www.supermoonbakehouse.com/ ,"120 Rivington Street, New York, NY 10002",Bakery
L’imprimerie,http://limprimerie.nyc/ ,"1524 Myrtle Avenue, Brooklyn, NY 11237",Bakery
Bourke Street Bakery,https://www.bourkestreetbakery.com/,"15 East 28th Street, New York, NY",Bakery
Ole & Steen,https://oleandsteen.us/,"873 Broadway, New York, NY 10003",Bakery
Michaeli,https://www.michaelibakery.com/,"115A Division Street, New York, NY 10002",Bakery
Fabrique,http://fabrique.se/,"348 West 14th Street, New York, NY 10011",Bakery
Donut Pub,https://www.donutpub.com/  ,"203 West 14th Street, New York, NY 10011",Doughnuts
Ciao Gloria,https://www.ciaogloria.com/ ,"550 Vanderbilt Avenue, Brooklyn, NY 11238",Bakery
Prince Street Pizza,http://www.princestpizzanewyork.com/  ,"27 Prince St, New York, NY 10012",Pizza
Scarr’s Pizza,http://www.scarrspizza.com/ ,"22 Orchard Street, New York, NY 10002",Pizza
Emmy Squared,https://www.emmysquared.com/ ,"364 Grand Street, Brooklyn, NY 11211 ",Pizza
Emmy Squared,https://www.emmysquared.com/ ,"83 1st Avenue, New York, NY 10003 ",Pizza
City Bakery,http://www.thecitybakery.com/ ,"3 West 18th Street, New York, NY",Bakery
City Bakery,http://www.thecitybakery.com/ ,"140 East 45th Street, New York, NY",Bakery
Mansoura,http://www.mansoura.com/ ,"515 Kings Highway, Brooklyn, NY 11223",Bakery
La Newyorkina,http://www.lanewyorkina.com/ ,"240 Sullivan Street, New York, NY 10012",Ice Cream
Ovenly,http://oven.ly/ ,"154 Franklin Street, Brooklyn, NY, 11222",Bakery
Ice & Vice,http://iceandvice.com/ ,"221 E. Broadway New York, NY",Ice Cream
Ice & Vice,http://iceandvice.com/ ,"Times Square 43rd st. & Broadway, New York, NY",Ice Cream
Ice & Vice,http://iceandvice.com/ ,"27-20 Jackson Ave Long Island City, NY",Ice Cream
Ice & Vice,http://iceandvice.com/ ,"55 Water St. Dumbo, NY",Ice Cream
Doughnut Plant,http://www.doughnutplant.com/ ,"89 East 42nd Street, New York, NY 10017",Doughnuts
Doughnut Plant,http://www.doughnutplant.com/ ,"379 Grand Street, New York, NY 10002",Doughnuts
Doughnut Plant,http://www.doughnutplant.com/ ,"220 West 23rd Street, New York, NY 10011",Doughnuts
Doughnut Plant,http://www.doughnutplant.com/ ,"245 Flatbush Avenue, Brooklyn, NY 11217",Doughnuts
Doughnut Plant,http://www.doughnutplant.com/ ,"3100 47th Avenue, Long Island City, NY 11101",Doughnuts
Doughnut Plant,http://www.doughnutplant.com/ ,"198 Bedford Avenue at North 6th Street, Brooklyn, NY 11249",Doughnuts
Republic of Booza,http://republicofbooza.com/ ,"76 N. 4th St. Brooklyn, NY 11249",Ice Cream
Runner & Stone,http://www.runnerandstone.com/  ,"285 Third Avenue, Brooklyn, NY 11215",Bakery
The Arepa Lady,,"77-17 37th Ave, Jackson Heights, NY 11372",South American
Phayul Restaurant,,"37-65 74th Street 2nd Fl, Jackson Heights, NY 11372",Tibetan
Chao Thai ,,"85-03 Whitney Ave, Queens, NY 11373",Thai
White Bear,,"135-02 Roosevelt Ave, Flushing, NY 11354",Chinese
Dumpling Galaxy,http://www.dumplinggalaxy.com/ ,"42-35 Main Street, Flushing, NY 11355",Chinese
Tous les Jours,http://tljus.com/ ,"39-16 Prince Street, Unit G05, Flushing , NY 11354",Bakery
Tous les Jours,http://tljus.com/ ,"2017 86th Street, Brooklyn , NY 11214",Bakery
Tous les Jours,http://tljus.com/ ,"31 W 32nd St. Manhattan, New York, NY 10001",Bakery
Tous les Jours,http://tljus.com/ ,"7 Division St, New York, NY 10002",Bakery
Tous les Jours,http://tljus.com/ ,"39-02 Union St. Flushing, Queens, NY 11354",Bakery
