"name","url","address","type","lon","lat"
"Bâtard","http://www.batardtribeca.com/","239 W Broadway, New York, NY 10013","French",-74.0057567,40.7194746
"Upland","https://uplandnyc.com/","345 Park Avenue South, New York, NY 10010","California",-73.9851675,40.7415505
"Via Carota","http://www.viacarota.com/","51 Grove Street, New York, NY","Italian",-74.0036512,40.7331774
"Misi ","https://www.misinewyork.com/","329 Kent Avenue, Brooklyn, NY 11249","Italian",-73.9666249,40.713414
"Han Dynasty","https://handynasty.net/","90 3rd Ave, New York, NY 10003","Chinese",-73.9883101,40.7322525
"Han Dynasty","https://handynasty.net/","1 Dekalb Ave Brooklyn, NY 11201","Chinese",-73.9831113,40.6904102
"Han Dynasty","https://handynasty.net/","215 W 85th St, New York NY 10024","Chinese",-73.9763983,40.7875604
"Claro","https://www.clarobk.com/","284 3rd Avenue, Brooklyn, NY 11215","Mexican",-73.9862742,40.677425
"Maison Yaki","http://maisonyaki.com/","626 Vanderbilt Avenue Brooklyn, NY 11238","French/Japanese",-73.9692368,40.6775139
"Frankel’s","https://frankelsdelicatessen.com/","631 Manhattan Avenue, New York, NY 11222","Deli",-73.9510048,40.7238892
"Grand Army","https://www.grandarmybar.com/","336 State Street, Brooklyn, NY 11217","Bar",-73.9865127,40.6882175
"Maison Premiere","https://maisonpremiere.com/","298 Bedford Avenue, Brooklyn, NY 11249","Bar",-73.9616503,40.7142634
"Fornino ","https://www.fornino.com/","Pier 6, Brooklyn Bridge Park, Brooklyn, NY 11201","Pizza",-74.0016887,40.6932222
"Fornino ","https://www.fornino.com/","849 Manhattan Ave, Brooklyn, NY 11222","Pizza",-73.9540124,40.7289636
"M. Shanghai","http://www.newmshanghai.com/","292 Grand Street, Brooklyn, NY 11211","Chinese",-73.9576342,40.712907
"Bar Sardine","https://www.barsardinenyc.com/","183 West 10th Street, New York, NY 10014","Gastropub",-74.0027106,40.7343948
"The Kunjip","http://thekunjipnyc.com/","32 West 32nd Street, New York, NY 10001","Korean",-73.9872574,40.7476187
"Stick with Me","https://swmsweets.com/","202A Mott Street, New York, NY 10012","Chocolate",-73.9954905,40.721267
"Supermoon Bakehouse","https://www.supermoonbakehouse.com/ ","120 Rivington Street, New York, NY 10002","Bakery",-73.9871925,40.7198953
"L’imprimerie","http://limprimerie.nyc/ ","1524 Myrtle Avenue, Brooklyn, NY 11237","Bakery",-73.9128512,40.6992312
"Bourke Street Bakery","https://www.bourkestreetbakery.com/","15 East 28th Street, New York, NY","Bakery",-73.9861391,40.7442928
"Ole & Steen","https://oleandsteen.us/","873 Broadway, New York, NY 10003","Bakery",-73.9903659,40.7381486
"Michaeli","https://www.michaelibakery.com/","115A Division Street, New York, NY 10002","Bakery",-73.9921222,40.7143681
"Fabrique","http://fabrique.se/","348 West 14th Street, New York, NY 10011","Bakery",-74.0047474,40.7404517
"Donut Pub","https://www.donutpub.com/  ","203 West 14th Street, New York, NY 10011","Doughnuts",-73.9998226,40.7388767
"Ciao Gloria","https://www.ciaogloria.com/ ","550 Vanderbilt Avenue, Brooklyn, NY 11238","Bakery",-73.9681386,40.6807331
"Prince Street Pizza","http://www.princestpizzanewyork.com/  ","27 Prince St, New York, NY 10012","Pizza",-73.9945497,40.7230533
"Scarr’s Pizza","http://www.scarrspizza.com/ ","22 Orchard Street, New York, NY 10002","Pizza",-73.991428,40.7153411
"Emmy Squared","https://www.emmysquared.com/ ","364 Grand Street, Brooklyn, NY 11211 ","Pizza",-73.9557056,40.7121694
"Emmy Squared","https://www.emmysquared.com/ ","83 1st Avenue, New York, NY 10003 ","Pizza",-73.9868068,40.7259971
"City Bakery","http://www.thecitybakery.com/ ","3 West 18th Street, New York, NY","Bakery",-73.992346,40.7389572
"City Bakery","http://www.thecitybakery.com/ ","140 East 45th Street, New York, NY","Bakery",-73.9740497,40.752707
"Mansoura","http://www.mansoura.com/ ","515 Kings Highway, Brooklyn, NY 11223","Bakery",-73.97048,40.6045631
"La Newyorkina","http://www.lanewyorkina.com/ ","240 Sullivan Street, New York, NY 10012","Ice Cream",-73.9996072,40.7299931
"Ovenly","http://oven.ly/ ","154 Franklin Street, Brooklyn, NY, 11222","Bakery",-73.9574593,40.7303866
"Ice & Vice","http://iceandvice.com/ ","221 E. Broadway New York, NY","Ice Cream",-73.9870252,40.7141215
"Ice & Vice","http://iceandvice.com/ ","Times Square 43rd st. & Broadway, New York, NY","Ice Cream",-73.9855426,40.7579747
"Ice & Vice","http://iceandvice.com/ ","27-20 Jackson Ave Long Island City, NY","Ice Cream",-73.940329,40.747534
"Ice & Vice","http://iceandvice.com/ ","55 Water St. Dumbo, NY","Ice Cream",-73.9916072,40.7034191
"Doughnut Plant","http://www.doughnutplant.com/ ","89 East 42nd Street, New York, NY 10017","Doughnuts",-73.9772353,40.7527277
"Doughnut Plant","http://www.doughnutplant.com/ ","379 Grand Street, New York, NY 10002","Doughnuts",-73.98853,40.716336
"Doughnut Plant","http://www.doughnutplant.com/ ","220 West 23rd Street, New York, NY 10011","Doughnuts",-73.9967144,40.7443264
"Doughnut Plant","http://www.doughnutplant.com/ ","245 Flatbush Avenue, Brooklyn, NY 11217","Doughnuts",-73.9747154,40.680644
"Doughnut Plant","http://www.doughnutplant.com/ ","3100 47th Avenue, Long Island City, NY 11101","Doughnuts",-73.9354373,40.7420113
"Doughnut Plant","http://www.doughnutplant.com/ ","198 Bedford Avenue at North 6th Street, Brooklyn, NY 11249","Doughnuts",-73.9583353,40.7174415
"Republic of Booza","http://republicofbooza.com/ ","76 N. 4th St. Brooklyn, NY 11249","Ice Cream",-73.961656,40.7172893
"Runner & Stone","http://www.runnerandstone.com/  ","285 Third Avenue, Brooklyn, NY 11215","Bakery",-73.9859528,40.6772249
"The Arepa Lady","","77-17 37th Ave, Jackson Heights, NY 11372","South American",-73.8882687,40.7494896
"Phayul Restaurant","","37-65 74th Street 2nd Fl, Jackson Heights, NY 11372","Tibetan",-73.891349,40.7471617
"Chao Thai ","","85-03 Whitney Ave, Queens, NY 11373","Thai",-73.8802254,40.7416282
"White Bear","","135-02 Roosevelt Ave, Flushing, NY 11354","Chinese",-73.8316834,40.7588392
"Dumpling Galaxy","http://www.dumplinggalaxy.com/ ","42-35 Main Street, Flushing, NY 11355","Chinese",-73.8275503,40.7547953
"Tous les Jours","http://tljus.com/ ","39-16 Prince Street, Unit G05, Flushing , NY 11354","Bakery",-73.832247,40.7590973
"Tous les Jours","http://tljus.com/ ","2017 86th Street, Brooklyn , NY 11214","Bakery",-73.9975454,40.6044476
"Tous les Jours","http://tljus.com/ ","31 W 32nd St. Manhattan, New York, NY 10001","Bakery",-73.9870352,40.7479357
"Tous les Jours","http://tljus.com/ ","7 Division St, New York, NY 10002","Bakery",-73.9970801,40.7139179
"Tous les Jours","http://tljus.com/ ","39-02 Union St. Flushing, Queens, NY 11354","Bakery",-73.8270946,40.7608424
